species,estimator,estimator_label,metric,metric_label,estimate,n_pairs,n_images,n_specimens,estimand
marmoratus,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),44.6256,50,2,2,median among frozen composite top 50
marmoratus,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.1703245,50,2,2,median among frozen composite top 50
marmoratus,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),260.4276,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
marmoratus,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),44.1,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
marmoratus,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.168187,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
marmoratus,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),266.2632,50,2,2,median among literal largest 50
marmoratus,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),45.0864,50,2,2,median among literal largest 50
marmoratus,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.16933,50,2,2,median among literal largest 50
marmoratus,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),254.7216,100,2,2,median among literal largest 100
marmoratus,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),45.0144,100,2,2,median among literal largest 100
marmoratus,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.174514,100,2,2,median among literal largest 100
marmoratus,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),222.6816,263,2,2,median among all eligible candidates
marmoratus,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),44.5248,263,2,2,median among all eligible candidates
marmoratus,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.199823,263,2,2,median among all eligible candidates
marmoratus,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),224.8128,7,2,2,median among manual keeps
